controller,comfort_mean,comfort_std,energy_cop_kwh_mean,energy_cop_kwh_std,energy_simple_kwh,energy_saving_kwh,safety_penalty,switches_per_hour,total_reward_mean,n_apartments,comfort_rank
RL_PPO,0.7227398467678171,0.046165029739443156,3.0038398738524092,0.03588915074561083,7.554054054054054,4.550214180201644,0.0006569069069069068,0.5848348348348349,92.39021741995118,37,1
Rule_Bayesian,0.6431770772843226,0.0581047945369445,5.39719247636265,0.27489530600674444,24.0,18.60280752363735,0.0006569069069069068,0.49774774774774777,91.3480701278539,37,2
Fixed_27C,0.5609606279979923,0.05894451778282245,6.310401382548217,0.04941305329843851,24.0,17.689598617451782,0.0006569069069069068,0.0,90.48472730676838,37,3
Rule_Based,0.5609519429426262,0.07861969547867124,5.579102855780267,0.09094365614128636,24.0,18.420897144219733,0.0006569069069069068,0.356981981981982,90.46738920838307,37,4
Fixed_26C,0.446539326911329,0.0654954982750618,6.868261469029548,0.039416413993860214,24.0,17.13173853097045,0.0006569069069069068,0.0,89.21624325314771,37,5
Random,0.3613352538331531,0.06471013183132542,4.916677103334769,0.20870661721104017,20.963963963963963,16.047286860629193,0.0007507507507507507,2.5972222222222223,87.86364366215382,37,6
