controller,energy_cop_mean,energy_simple_mean,saving_mean,saving_pct
Fixed_26C,6.868261469029548,24.0,17.13173853097045,71.38224387904354
Fixed_27C,6.310401382548217,24.0,17.689598617451782,73.7066609060491
RL_PPO,3.0038398738524092,7.554054054054054,4.550214180201644,60.235393440952
Random,4.916677103334769,20.963963963963963,16.047286860629193,76.54700651181093
Rule_Based,5.579102855780267,24.0,18.420897144219733,76.75373810091556
Rule_Bayesian,5.39719247636265,24.0,18.60280752363735,77.51169801515562
