apartment_id,controller,T_star,RH_star,comfort_mean,comfort_std,energy_cop_kwh_mean,energy_cop_kwh_std,energy_simple_kwh_mean,energy_saving_kwh,safety_penalty_mean,switches_per_hour,total_reward_mean,n_episodes
AP10,RL_PPO,28.5,70.0,0.7259655088761819,0.05800754128582673,3.0440948232504454,0.09090038456030024,7.833333333333333,4.789238510082887,0.003472222222222222,0.5972222222222223,91.91133275862585,3
AP10,Fixed_26C,28.5,70.0,0.41576090392020554,0.027988817546285495,6.828153034270432,0.02073896462810354,24.0,17.171846965729568,0.003472222222222222,0.0,88.39041650137399,3
AP10,Fixed_27C,28.5,70.0,0.5471813436095209,0.028307170110483896,6.258284469968756,0.0044214432218791875,24.0,17.741715530031243,0.003472222222222222,0.0,89.83886536371686,3
AP10,Rule_Based,28.5,70.0,0.5180688869011751,0.046299224856521076,5.4318724921869785,0.05072477726645281,24.0,18.56812750781302,0.003472222222222222,0.38888888888888884,89.51108239977981,3
AP10,Random,28.5,70.0,0.3276346526510616,0.013781525282670373,4.60852379291008,0.49239245726357656,20.833333333333332,16.22480954042325,0.003472222222222222,2.5833333333333335,87.09386330540731,3
AP10,Rule_Bayesian,28.5,70.0,0.6615214611243766,0.00974591113989536,5.26507942174921,0.09985856752842229,24.0,18.73492057825079,0.003472222222222222,0.5,91.05188293021202,3
AP11,RL_PPO,27.25,79.0,0.5906355540683433,0.011296290914913196,3.0373481223712555,0.06543107785920721,7.5,4.462651877628744,0.0,0.5833333333333334,91.11131049110838,3
AP11,Fixed_26C,27.25,79.0,0.5610653031813184,0.013459152115986417,6.895594605808584,0.057666311837066525,24.0,17.104405394191417,0.0,0.0,90.54169000367831,3
AP11,Fixed_27C,27.25,79.0,0.6356553853035325,0.016963478343014142,6.344242306943902,0.08974605862059598,24.0,17.6557576930561,0.0,0.0,91.3883570890136,3
AP11,Rule_Based,27.25,79.0,0.6828937720667728,0.046635461210040335,5.660518754276812,0.17057778696582698,24.0,18.33948124572319,0.0,0.34722222222222227,91.86867711793711,3
AP11,Random,27.25,79.0,0.5018182408216347,0.025414397764668313,4.730599414561147,0.1777262841889067,20.75,16.019400585438852,0.0,2.5833333333333335,89.45721478492369,3
AP11,Rule_Bayesian,27.25,79.0,0.7497875392375182,0.017568454630277806,5.638662696238062,0.05309349943956382,24.0,18.36133730376194,0.0,0.5833333333333334,92.56984195806074,3
