apartment_id,controller,T_star,RH_star,comfort_mean,comfort_std,energy_cop_kwh_mean,energy_cop_kwh_std,energy_simple_kwh_mean,energy_saving_kwh,safety_penalty_mean,switches_per_hour,total_reward_mean,n_episodes,comfort_fixed26,energy_fixed26,comfort_gain,energy_saving_cop
AP33,Rule_Bayesian,29.0,68.0,0.59761818258765,0.01232283663646109,4.943280422944103,0.09725991382070169,24.0,19.056719577055897,0.003472222222222222,0.3333333333333333,90.39977888314657,3,0.3304690035780003,6.864839187937295,0.2671491790096497,1.9215587649931916
AP32,Rule_Bayesian,28.5,71.0,0.688770772319056,0.023983580983599682,5.381141965070817,0.192164520045529,24.0,18.618858034929183,0.0,0.40277777777777785,91.97145649379547,3,0.42573870620781507,6.92864471192149,0.26303206611124097,1.5475027468506726
AP36,Rule_Bayesian,28.75,69.0,0.6594894514306725,0.0008074677264157817,5.235688873495691,0.06184446204696115,24.0,18.76431112650431,0.0,0.4305555555555555,91.66521896539723,3,0.4001947766506401,6.865840359270344,0.2592946747800324,1.630151485774653
AP38,Rule_Bayesian,29.0,68.0,0.6164209458921106,0.005718805797088845,5.025925939598617,0.08929714240911947,24.0,18.974074060401385,0.003472222222222222,0.38888888888888884,90.59264574387363,3,0.3597716951873801,6.838462319957823,0.2566492507047305,1.812536380359206
AP10,Rule_Bayesian,28.5,70.0,0.6615214611243766,0.00974591113989536,5.26507942174921,0.09985856752842229,24.0,18.73492057825079,0.003472222222222222,0.5,91.05188293021202,3,0.41576090392020554,6.828153034270432,0.24576055720417106,1.5630736125212223
AP48,Rule_Bayesian,28.5,71.0,0.682936228294496,0.0050883761524821184,5.32023223455607,0.039294461326184735,24.0,18.67976776544393,0.0,0.5,91.8878970912532,3,0.43931448044873855,6.842767522085091,0.2436217478457574,1.5225352875290206
AP23,Rule_Bayesian,28.5,70.0,0.6629824331423517,0.010670984292384635,5.27201005514159,0.09161702611093676,24.0,18.72798994485841,0.003472222222222222,0.5,91.06879790492532,3,0.4197065821721882,6.841743644532411,0.24327585097016352,1.5697335893908209
AP37,Rule_Bayesian,29.5,69.0,0.567201363019749,0.017162672363913518,4.362039844817566,0.09348463741061057,24.0,19.637960155182434,0.0,0.2638888888888889,90.70794799746564,3,0.3250560031406757,6.848524106144198,0.24214535987907332,2.4864842613266314
AP26,Rule_Bayesian,29.0,65.0,0.5523148908370573,0.017362212842605054,4.980509656039784,0.11728191387841606,24.0,19.019490343960214,0.0,0.3611111111111111,90.53450739014475,3,0.3124861517531627,6.867069633574926,0.23982873908389463,1.8865599775351418
AP24,Rule_Bayesian,28.5,67.0,0.629251717587337,0.016399937713852508,5.413072758431021,0.1273375462000387,24.0,18.58692724156898,0.0,0.5,91.32142900738829,3,0.3911943735652035,6.876135706347404,0.23805734402213352,1.4630629479163835
AP7,Rule_Bayesian,28.5,68.0,0.6406713299727876,0.0026950657031670944,5.311610698758874,0.07839244115385387,24.0,18.688389301241127,0.0,0.5416666666666666,91.44291199363909,3,0.41214826082915396,6.827723472885141,0.22852306914363368,1.5161127741262668
AP34,Rule_Bayesian,28.5,66.0,0.5681978541048225,0.0024663560755840337,5.3121617380518344,0.02837602810542051,24.0,18.687838261948166,0.0,0.4166666666666667,90.70196231165993,3,0.34011158187052787,6.948790219571545,0.22808627223429462,1.6366284815197103
AP2,Rule_Bayesian,28.0,70.0,0.6475927080987857,0.0029209174295410376,5.335354821326955,0.06234217563614485,24.0,18.664645178673045,0.0,0.47222222222222227,91.52110177361679,3,0.4334212630531043,6.9268057364765525,0.21417144504568136,1.591450915149598
AP31,Rule_Bayesian,27.75,73.0,0.7002258718735425,0.013890338789596387,5.36654833039363,0.22762724744402962,24.0,18.63345166960637,0.003472222222222222,0.5,91.46353069873724,3,0.49055818158884246,6.853960820274004,0.2096676902847,1.4874124898803744
